date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer
0.881111,3,0.595745,0.035937,0.527968,0.002443,0.545054,0.391667
0.898854,7,0.744681,0.084514,0.529902,0.005399,0.449249,0.664474
0.452015,4,0.0,0.040891,0.591639,0.002833,0.449508,0.491667
0.446706,3,0.893617,0.069893,0.623921,0.004701,0.486277,0.586842
0.890005,2,0.914894,0.027441,0.57706,0.001901,0.528742,0.419298
0.000708,4,0.829787,0.044104,0.572895,0.003467,0.422915,0.414912
0.898102,4,0.957447,0.063168,0.601309,0.002277,0.450803,0.577193
0.898987,3,0.87234,0.087456,0.647724,0.005804,0.588555,0.562281
0.004867,1,0.425532,0.089798,0.633889,0.003467,0.422915,0.414912
0.442989,2,0.425532,0.077819,0.61321,0.005208,0.507509,0.560965
0.018406,1,0.170213,0.044344,0.132996,0.003467,0.422915,0.414912
0.881023,1,0.659574,0.028942,0.256471,0.000835,0.235629,0.575
0.880315,6,0.617021,0.057013,0.567837,0.004065,0.482651,0.160965
0.443476,6,0.404255,0.090759,0.595805,0.006203,0.62377,0.433772
0.460643,5,0.361702,0.05236,0.534067,0.003552,0.584671,0.314035
0.880581,6,0.276596,0.068872,0.423237,0.004626,0.444329,0.514035
0.442945,1,0.06383,0.048217,0.229247,0.003257,0.32755,0.475439
0.912172,2,0.085106,0.040861,0.140137,0.002727,0.311238,0.584211
0.867395,1,0.021277,0.024499,0.18432,0.001529,0.258415,0.876754
0.000531,7,0.851064,0.068302,0.407022,0.003467,0.422915,0.414912
0.451573,1,0.595745,0.043623,0.548051,0.001176,0.250129,0.78114
0.46113,2,0.680851,0.031134,0.428593,0.002127,0.410927,0.183772
0.446706,3,0.87234,0.095202,0.670783,0.006363,0.522009,0.528509
0.912172,2,0.595745,0.143509,0.525141,0.009699,0.561885,0.393421
0.464758,7,0.404255,0.029122,0.429932,0.001982,0.300621,0.521053
0.893943,7,0.446809,0.075718,0.621244,0.004798,0.519161,0.832456
0.42476,2,0.723404,0.058394,0.387087,0.003467,0.422915,0.414912
0.452369,5,0.893617,0.043593,0.661113,0.002995,0.514759,0.445614
0.032034,2,0.510638,0.074817,0.348408,0.003467,0.422915,0.414912
0.898766,5,0.170213,0.032815,0.231776,0.001992,0.342828,0.764474
0.455998,4,0.808511,0.041462,0.719429,0.002821,0.602796,0.442105
0.434229,5,0.255319,0.110664,0.406575,0.003467,0.422915,0.414912
0.868059,2,0.893617,0.035517,0.350937,0.002225,0.212325,0.817982
0.881288,7,0.170213,0.029092,0.116037,0.001888,0.208959,0.699123
0.898323,2,0.446809,0.071304,0.6385,0.004668,0.641378,0.579386
0.912393,7,0.021277,0.047166,0.322969,0.003224,0.343863,0.435965
0.460466,1,0.829787,0.025009,0.419964,0.001683,0.404972,0.625
0.898058,3,0.361702,0.082773,0.677328,0.005498,0.658985,0.505702
0.447325,3,0.87234,0.044013,0.733413,0.003037,0.53651,0.544298
0.889695,2,0.297872,0.033055,0.576614,0.002268,0.523045,0.362281
0.876908,5,0.297872,0.030863,0.516364,0.002092,0.553599,0.346491
0.017964,5,0.234043,0.076318,0.265546,0.003467,0.422915,0.414912
0.013362,5,0.680851,0.074817,0.521422,0.003467,0.422915,0.414912
0.468917,4,0.340426,0.054161,0.526927,0.003708,0.472812,0.34693
