"region_name","salary"
"Алтайский край","25960"
"Амурская область","43156"
"Архангельская область","47526"
"Астраханская область","32166"
"Белгородская область","31163"
"Брянская область","27403"
"Владимирская область","31647"
"Волгоградская область","30097"
"Вологодская область","36081"
"Воронежская область","31286"
"г. Москва","78946"
"г. Санкт-Петербург","58310"
"г. Севастополь","31008"
"Еврейская АО","39797"
"Забайкальский край","40728"
"Ивановская область","26053"
"Иркутская область","42921"
"Кабардино-Балкарская Республика","25318"
"Калининградская область","32473"
"Калужская область","38005"
"Камчатский край","71553"
"Карачаево-Черкесская Республика","25699"
"Кемеровская область","37857"
"Кировская область","27580"
"Костромская область","27948"
"Краснодарский край","33258"
"Красноярский край","44692"
"Курганская область","27887"
"Курская область","30125"
"Ленинградская область","42434"
"Липецкая область","30775"
"Магаданская обл.","101662"
"Московская обл.","50135"
"Мурманская обл.","56005"
"Ненецкий АО","77277"
"Нижегородская область","32973"
"Новгородская область","30820"
"Новосибирская область","36048"
"Омская область","32013"
"Оренбургская область","29892"
"Орловская область","26834"
"Пензенская область","30112"
"Пермский край","34809"
"Приморский край","42026"
"Псковская область","27339"
"Республика Адыгея","27455"
"Республика Алтай","37764"
"Республика Башкортостан","33137"
"Республика Бурятия","37867"
"Республика Дагестан","24550"
"Республика Ингушетия","25663"
"Республика Калмыкия","25719"
"Республика Карелия","39755"
"Республика Коми","48316"
"Республика Крым","28400"
"Республика Марий Эл","28232"
"Республика Мордовия","26999"
"Республика Саха (Якутия)","65881"
"Республика Северная Осетия-Алания","26108"
"Республика Татарстан","35722"
"Республика Тыва","35619"
"Республика Хакасия","37949"
"Ростовская область","30647"
"Рязанская область","31192"
"Самарская область","33086"
"Саратовская область","26555"
"Сахалинская обл.","73261"
"Свердловская область","37605"
"Смоленская область","29566"
"Ставропольский край","28256"
"Тамбовская область","26754"
"Тверская область","30764"
"Томская область","39707"
"Тульская область","33933"
"Тюменская обл.","61937"
"Удмуртская Республика","31990"
"Ульяновская область","27927"
"Хабаровский край","46583"
"Ханты-Мансийский АО (Югра)","62555"
"Челябинская область","34944"
"Чеченская Республика","26108"
"Чувашская Республика","27028"
"Чукотский АО","96930"
"Ямало-Ненецкий АО","86560"
"Ярославская область","33882"
