ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
409,60,36,89,91745,2,2.8,1,0,0,0,0,1,0
3738,44,19,30,91423,1,0.5,3,0,0,0,0,1,0
3890,26,0,19,93014,1,0.1,2,121,0,0,0,1,0
569,34,9,41,92101,2,0.1,1,161,0,0,0,1,1
1042,56,32,51,92780,4,1.5,1,0,0,0,0,0,0
1128,35,9,58,91101,1,2.5,1,0,0,0,0,1,1
3077,29,-1,62,92672,2,1.75,3,0,0,0,0,0,1
4617,66,41,114,92521,1,0.8,3,0,0,0,0,1,1
4989,34,8,85,95134,1,2.5,1,136,0,0,0,0,1
3578,39,9,32,91016,3,2.0,3,0,0,0,0,1,0
893,38,12,53,95616,2,2.4,2,0,0,0,0,1,0
2259,59,33,93,91320,2,0.7,2,0,0,0,0,0,0
4500,53,26,22,91304,1,0.5,2,0,0,0,0,1,1
4065,63,39,50,94402,1,0.0,2,166,0,0,0,0,0
4997,30,4,15,92037,4,0.4,1,85,0,0,0,1,0
1225,59,35,45,94920,1,1.8,3,0,0,0,0,1,0
3879,35,11,81,92064,2,0.0,1,0,0,0,0,1,1
3852,46,21,99,90277,2,3.8,3,194,0,0,0,1,0
4697,59,35,70,92103,4,2.3,3,0,0,0,0,0,0
1743,64,38,42,95929,2,0.7,3,137,0,0,0,1,0
66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1
1977,39,13,80,95616,2,1.8,1,0,0,0,0,1,0
1850,50,26,42,90630,1,1.6,2,0,0,0,0,1,0
3172,39,12,62,91910,3,2.33,2,0,0,0,0,0,0
3425,44,19,45,94539,4,0.0,2,0,0,0,0,1,1
3597,44,20,88,94720,1,4.7,1,0,0,0,0,0,0
4525,48,24,79,94542,3,0.7,1,0,0,0,0,1,1
1674,29,5,81,94115,2,2.5,1,0,0,0,0,0,1
4250,37,12,63,91942,4,2.1,3,0,0,0,0,1,0
4235,50,24,91,93555,1,0.8,3,0,0,0,0,1,0
61,49,24,39,90404,3,1.7,2,0,0,1,0,1,0
308,42,18,33,90401,1,1.4,3,0,0,0,0,1,0
599,56,31,11,92374,2,0.2,3,90,0,0,0,0,0
2915,42,18,42,95929,2,1.7,1,0,0,0,0,1,0
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0
749,41,17,14,91330,1,1.0,1,0,0,0,0,0,0
1316,49,25,53,95134,2,1.0,3,181,0,0,0,0,0
1681,62,36,44,92093,2,1.0,3,0,0,0,0,0,0
1806,51,26,15,92373,2,0.0,1,114,0,0,0,1,0
3078,46,21,44,95112,1,0.3,1,110,0,1,0,1,0
1134,31,4,28,94126,1,2.0,2,0,0,0,0,0,0
2069,61,37,13,90024,2,0.3,3,0,0,0,0,1,0
2496,46,22,70,94701,4,1.9,1,212,0,0,0,0,1
1740,33,7,83,95211,1,2.5,1,0,0,1,1,1,1
1146,32,6,99,92101,2,1.5,3,0,0,0,0,0,1
4726,34,8,75,95814,2,1.8,1,0,0,0,0,0,0
1399,42,18,141,93407,1,3.5,1,0,0,0,0,0,0
1488,28,4,159,93907,1,1.5,1,0,0,0,0,1,1
4799,44,20,62,91604,3,0.3,3,0,0,0,0,0,1
4027,27,1,142,92038,3,5.5,1,0,1,0,0,0,0
1782,52,26,19,90650,2,0.7,2,0,0,0,0,0,1
3964,58,32,38,93106,3,2.2,3,0,0,0,0,1,0
23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0
4751,66,41,38,95134,1,1.1,3,0,0,0,0,0,1
3230,33,9,64,92507,4,3.4,1,0,0,0,0,0,0
2495,35,9,63,92697,2,1.8,1,0,0,0,0,1,0
2082,52,27,45,95006,1,1.3,2,0,0,0,0,0,0
4305,64,39,98,95678,3,1.8,2,80,0,0,0,1,0
2882,49,25,55,92103,4,0.1,3,0,0,0,0,1,0
2704,51,27,71,92521,1,2.6,2,0,0,0,0,0,1
2797,57,32,30,94024,2,2.0,2,0,0,0,0,0,0
2559,43,19,172,95136,2,6.67,1,0,0,0,0,1,0
2197,51,24,189,95211,4,4.75,2,0,1,0,0,1,0
91,55,30,118,90277,4,5.6,2,0,1,0,0,1,0
1683,51,26,14,92182,2,0.0,1,103,0,0,0,1,0
2879,45,19,122,94590,4,4.1,2,0,1,0,0,1,0
4256,59,35,78,90095,2,2.8,1,0,0,0,0,1,0
1106,35,10,182,95051,1,0.3,2,229,1,0,1,1,1
964,39,14,24,94305,2,0.3,2,0,0,0,0,0,0
1015,50,26,192,90245,2,1.8,3,301,1,0,1,1,1
1921,54,28,31,92130,2,0.4,3,0,0,0,0,0,0
3461,63,37,84,92691,4,2.4,3,0,0,0,0,1,1
236,38,8,71,94720,4,1.8,3,0,0,0,0,1,0
152,26,0,132,92834,3,6.5,3,0,1,0,0,0,1
4038,52,28,72,91335,1,0.0,1,178,0,0,0,0,0
3337,60,34,11,94305,4,0.7,3,0,0,0,0,1,0
1685,60,34,83,94028,2,2.0,1,249,0,0,0,0,0
2461,31,5,32,92123,2,0.3,2,130,0,0,0,1,0
2375,32,5,41,92008,2,1.0,2,112,0,1,0,1,0
2732,29,5,28,96651,1,0.2,3,0,0,0,0,1,0
3442,64,40,18,94309,2,0.3,3,0,0,1,1,1,1
2357,31,5,184,92064,4,3.4,2,0,1,0,1,1,1
1856,65,39,30,94304,3,0.7,2,0,0,0,0,1,1
2304,47,21,89,94720,2,0.8,3,0,0,0,0,1,1
2139,36,11,40,93611,2,1.1,2,166,0,1,0,0,0
122,52,26,38,91711,3,0.9,3,0,0,0,0,1,0
3462,57,27,64,92007,3,2.0,3,142,0,0,0,1,0
4169,60,34,139,95020,4,0.4,1,0,1,0,0,1,0
2103,25,-1,81,92647,2,1.6,3,0,0,0,0,1,1
1099,46,20,114,90720,1,0.0,1,0,0,0,0,1,1
1841,55,25,23,93106,4,0.4,3,88,0,0,0,0,0
1826,56,32,161,94720,1,5.8,3,0,1,1,0,0,0
201,32,6,29,91355,1,1.9,3,0,0,0,0,1,1
2886,57,31,113,91711,4,0.6,3,327,1,0,0,1,0
4938,33,8,162,94960,1,8.6,1,0,0,0,1,1,1
1815,48,22,79,95747,3,0.7,2,0,0,0,0,1,0
1456,63,39,160,91330,2,2.1,1,0,0,0,0,0,1
4874,59,35,165,94309,2,6.0,1,0,0,0,0,1,0
3300,60,34,90,92192,4,1.9,2,0,0,0,0,1,0
2614,52,26,110,94501,2,5.4,3,204,1,1,1,1,0
2947,33,9,145,94110,1,4.3,1,437,0,0,0,1,0
2809,53,27,35,94583,3,0.9,3,136,0,0,0,1,0
3098,58,32,44,92182,3,2.2,3,0,0,0,0,0,0
4908,34,9,101,94080,3,0.6,2,0,0,0,0,0,0
